Gross Margin % 2009,42.6
Gross Margin % 2010,43.5
Gross Margin % YoY % change,2.113
Operating Margin % 2009,25.0
Operating Margin % 2010,25.2
Operating Margin % YoY % change,0.800
Earnings Per Share USD 2009,1.36
Earnings Per Share USD 2010,1.84
Earnings Per Share USD YoY % change,35.294
Book Value Per Share USD 2009,0.89
Book Value Per Share USD 2010,1.45
Book Value Per Share USD YoY % change,62.921
SG&A 2009,17.61
SG&A 2010,18.29
SG&A YoY % change,3.861
Return on Assets % 2009,11.91
Return on Assets % 2010,13.71
Return on Assets % YoY % change,15.113
Return on Equity % 2009,194.38
Return on Equity % 2010,157.75
Return on Equity % YoY % change,-18.845
Return on Invested Capital % 2009,21.30
Return on Invested Capital % 2010,23.93
Return on Invested Capital % YoY % change,12.347
Cap Ex as a % of Sales 2009,2.19
Cap Ex as a % of Sales 2010,2.96
Cap Ex as a % of Sales YoY % change,35.160
Total Current Assets 2009,62.90
Total Current Assets 2010,49.20
Total Current Assets YoY % change,-21.781
Total Current Liabilities 2009,44.29
Total Current Liabilities 2010,43.31
Total Current Liabilities YoY % change,-2.213
Current Ratio 2009,1.42
Current Ratio 2010,1.14
Current Ratio YoY % change,-19.718
Quick Ratio 2009,0.63
Quick Ratio 2010,1.14
Quick Ratio YoY % change,80.952
