Gross Margin % 2009,72.0
Gross Margin % 2010,70.3
Gross Margin % YoY % change,-2.361
Operating Margin % 2009,22.4
Operating Margin % 2010,20.4
Operating Margin % YoY % change,-8.929
Earnings Per Share USD 2009,1.36
Earnings Per Share USD 2010,2.46
Earnings Per Share USD YoY % change,80.882
Book Value Per Share USD 2009,11.79
Book Value Per Share USD 2010,13.89
Book Value Per Share USD YoY % change,17.812
SG&A 2009,33.05
SG&A 2010,32.61
SG&A YoY % change,-1.331
R&D 2009,9.92
R&D 2010,10.60
R&D YoY % change,6.855
Return on Assets % 2009,8.91
Return on Assets % 2010,13.09
Return on Assets % YoY % change,46.914
Return on Equity % 2009,12.38
Return on Equity % 2010,19.44
Return on Equity % YoY % change,57.027
Return on Invested Capital % 2009,11.12
Return on Invested Capital % 2010,17.29
Return on Invested Capital % YoY % change,55.486
Cap Ex as a % of Sales 2009,7.91
Cap Ex as a % of Sales 2010,8.27
Cap Ex as a % of Sales YoY % change,4.551
Total Current Assets 2009,50.29
Total Current Assets 2010,46.34
Total Current Assets YoY % change,-7.854
Total Current Liabilities 2009,20.53
Total Current Liabilities 2010,24.65
Total Current Liabilities YoY % change,20.068
Current Ratio 2009,2.45
Current Ratio 2010,1.88
Current Ratio YoY % change,-23.265
Quick Ratio 2009,2.34
Quick Ratio 2010,1.80
Quick Ratio YoY % change,-23.077
