Gross Margin % 2009,35.6
Gross Margin % 2010,33.9
Gross Margin % YoY % change,1.700
Operating Margin % 2009,3.8
Operating Margin % 2010,6.9
Operating Margin % YoY % change,-3.100
Earnings Per Share USD 2009,0.43
Earnings Per Share USD 2010,0.90
Earnings Per Share USD YoY % change,-0.470
Book Value Per Share USD 2009,8.59
Book Value Per Share USD 2010,8.31
Book Value Per Share USD YoY % change,0.280
SG&A 2009,21.38
SG&A 2010,19.88
SG&A YoY % change,1.500
R&D 2009,3.61
R&D 2010,3.19
R&D YoY % change,0.420
Return on Assets % 2009,2.22
Return on Assets % 2010,4.27
Return on Assets % YoY % change,-2.050
Return on Equity % 2009,6.36
Return on Equity % 2010,10.85
Return on Equity % YoY % change,-4.490
Return on Invested Capital % 2009,1.08
Return on Invested Capital % 2010,5.45
Return on Invested Capital % YoY % change,-4.370
Cap Ex as a % of Sales 2009,2.40
Cap Ex as a % of Sales 2010,2.21
Cap Ex as a % of Sales YoY % change,0.190
Total Current Assets 2009,28.23
Total Current Assets 2010,26.27
Total Current Assets YoY % change,1.960
Total Current Liabilities 2009,20.97
Total Current Liabilities 2010,21.19
Total Current Liabilities YoY % change,-0.220
Current Ratio 2009,1.35
Current Ratio 2010,1.24
Current Ratio YoY % change,0.110
Quick Ratio 2009,1.02
Quick Ratio 2010,0.91
Quick Ratio YoY % change,0.110
